ProductName,Name,Rating,Comment
Glad2Glow Brightening Lip Serum,N***j,5,"Yey yg ditunggu sudah diterima terimakasih seller dan kurir yg baik, lip serumnya ada gantungan cantiknya, harum, manis rasa berry..bibir jadi lembab dan glowing, semoga jadi sehat ya bibirnya...suka 👍"
Glad2Glow Brightening Lip Serum,O***w,5,"Manfaat produk: Melembabkan bibir yang kering, menyehatkan bibir serta mencerahkan bibir gelap 👍🏻🫶 Jenis kulit: Kering dan pecah"", bgus bgt pake ini trus warnanya juga cantik"" banget lagi 😍😘🫶 Bahan: Bahannya aman untuk di gunakan 🤍"
Glad2Glow Brightening Lip Serum,G***u,5,"Bahan: berkualitas Manfaat produk: membantu merawat, melembutkan bibir, dan membuat warna bibir tampak lebih cerah Jenis kulit: semua jenis bibir kecuali bibir yg sedang terluka bagus banget harum jugaa jadi pengen di makan deh😋🍓🥰"
Glad2Glow Brightening Lip Serum,R***a,5,Bahan: Lembut wangi Manfaat produk: Melembabkan bibir mencerahkan bibur Jenis kulit: Kulit kering kulit normal Bagus banget pengiriman nya juga cepat wangi nyaman di gunakan memberikan hasil yg terbaik
Glad2Glow Brightening Lip Serum,Adehani,5,"selalu langganan pakai produk ini karna emang bener bener bagus dan murah juga,rasanya enak lembut dibibir,barang sampai dengan aman dan tidak ada yg bocor ,tenkyu seller"
Glad2Glow Brightening Lip Serum,M***s,5,bagus banget sesuai sma harga dan kualitas nga warn anya juga cakhuepp buat bibir lebih lembab Manfaat produk: melembabkan bibir Jenis kulit: kuning langsat
Glad2Glow Brightening Lip Serum,Adehani,5,"selalu langganan pakai produk ini karna emang bener bener bagus dan murah juga,rasanya lembut dibibir,barang sampai dengan aman dan tidak ada yg bocor ,tenkyu seller"
Glad2Glow Brightening Lip Serum,J***c,5,"Produk nya sangat memuaskan,lembut di kulit dan bikin lembab bibir,, mudah*an cocok di bibir aku yang kering🥰🙏"
Glad2Glow Brightening Lip Serum,V***j,5,"Pengemasannya agak lama, kalau pengirimannya cepat.Packaging rapi +bubble wrap jadi aman.Lip serumnya real pict, warna sesuai pesanan, harga terjangkau dapat harga murah/diskon,aromanya juga wangi.Belum dicoba, semoga cocok"
Glad2Glow Brightening Lip Serum,L***j,5,"Akhir nya pesanan saya sudah sampai ya kak ,,, packing ok & rapi terus abang kurir nya juga ramah ... waacchhh ngak nyangka banged kak brightening lip serum nya dipakai ringan dibibir terus wangi lagi mana bentuk nya unik & saya juga dapat harga 33K murce dech pokok nya .. Makasiiih ya kak ☺️🙏"
Glad2Glow Brightening Lip Serum,R***a,5,"Barang sesuai pesanan dan diterima dlm keadaan baik. ED masih lama. Texture nya gel bening, ckup ringan, melembabkan nya berasa. Ad wanginya sedikit tp ga tajem jd ga ganggu. Yg clear ini lebih versatile klo mau di combi dgn lip product lain atwpun pake buat malem aj. Packagingnya lgsg ad aplikatornya jd memudahkan. Gantungannya lucu sih, cm utk ku agk ganggu-ngeribetin jd akhirnya aku copot aj. Harga nya jg masih affordable, aplg pas promo.Tp emg netto nya cm 7gr."
Glad2Glow Brightening Lip Serum,Y***z,5,"lucu bgt lip seriumnya, sempat maju mundur pilih yg berry takut too much dan kemerahan dipakai, ternyata eggk, ini 2 fotoku sebelum pakai lip dan 2 foto sesudah, terasa lembab, rasa berrynya berasa bgt dan enak 😆 ada penutup lobang jg ditengah2 lip jd klw lip keteken gak keluar mubazir."
Glad2Glow Brightening Lip Serum,Z***y,5,"Manfaat produk: Membantu merawat, melembutkan bibir , dan membuat warna bibir lebih cerah Bahan: Berkualitas harum dan tidak membuat bibir kering pas sm bibir saya yg suka kering 😍😍"
Glad2Glow Brightening Lip Serum,M***n,5,"udah ketiga kali nya belii, dapet promo terus dari 33,31 sampee 27. suka banget shade nya lucu lucuu dan bikin seger pastinyaa😘😘 Bahan: okeii ringgan Manfaat produk: ngelembabin banget Jenis kulit: cocok buat bibir yg ga terlalu kering"
