review_text,label
terima kasih shoppe paket ny udah datang dengan cepat paket ny sesuai yang di inginkan sekali lagi thanks you shoppe,negative
kecewa sekali box nya kurang rapi dan produknya hampir berceceran dan tidak pakai bubble wrap,negative
"it's been days and the itch still haven't gone at all wkwkwk sedih alergi, sayang banget padahal beli gede",negative
bukanny makin mulus malah tumbuh jerawat gede dan bintik2,negative
pengalaman penggunaan:gampang patah,negative
only downside is the applicator that seemed to be worn out… but it’s not so much of a deal breaker since i prefer using brushes.. hopefully the quality of the eyeshadow i...,positive
pesen 5 produk yang datang cuma 4,negative
"pengemasan aman pakai kardus meski belinya 1 barang. pengiriman juga cepet. enak baunya manis. scrubnya lembut, lipbalmnya warna nggak yang medok gitu sih",positive
"tekstur:jel kandungan:macam² efektivitas:belum coba tutupnya kurang rapat,isinya byk yg tumpah",negative
"liptint harga segini dgn kualitas yg cepet ilang ga nge stain sii over price, banyak yg harga dibawahnya tp kualitasnya lebih bagus dari ini, kemakan iklan si haha",negative
"barang sampe dgn aman, kurir jg okee pol pdhal pesen barang di tmpt lain (jam dan hari sama) smpe skrng masih diperjalanan eh ini dear me udh sampe duluan :red_heart::red_heart:. kondisi bal...",positive
buat kerik alis.. efektif..,positive
"pengiriman cepat,, soal kualitas masi belum bisa nilai soalnya baru pemakain 2 hri",positive
diketerangan 180 yg diksih 160 gmna ni beli bnyak mengecewakan,negative
"pengiriman cukup cepat, packing rapi, produk dan quantity sesuai pesanan",positive
"tekstur:keras waktu dikeluarin kemasan kotor, tekstur keras, gaada free dry shampoo",negative
exp cm sampe bulan sept cpt bgt,negative
buruk.. barang datang keadan tumpah smua.,negative
"kualitas sangat baik, dan cocok di bibir, pokoknya harganya murah tapi kualitas ngak murahan",positive
"semoga cocok baru pertama kali beli disini, pengirimannya cepat, packaging kardusnya aja yg udah kebuka, tp isinya masih oke thank youkulit jadi tampak sehat. desainnya e...",positive
mana ini kok gak ada barangnya???? untung cuman 6rb jadi gpp ikhlas,negative
kecewa lama dateng barang nya,negative
pesanan sesuai permintaan dan barang ok makasi ya,positive
bungkusnya sudah terbuka saat diterima,negative
inspirer paling bawah ya swatchnya aaaak aku sukaaaa,positive
"rasanya pahit, kalau tidak suk pahit mending jangan beli krn syg kebuang",negative
tekstur:ukuran kecil banget ya ga sesuai sama digambar cocok untuk:suncren nya enak ringan trs menyerap,negative
"tulisannya sih exp 6-12 bulan, tp dari tanggal pmbelian, 1 bulan doank stlh pembelian lsg exp, akhir april, ya diskon tp harusnya tetap konsisten, bila dikatakan 6-12 bul...",negative
seneng banget bisa dapetin produknya dear me dengan harga diskon,positive
kulit langsung dingin dan bersih..mantap,positive
pesan 4 pcs paket skintific pas live yg datang kok cuma 3??? g lagi deh beli disini kapok. ownernya g amanah,negative
"packagingnya sih bagus ya , cuma dari pengemasan sama pengiriman lama bgt pesennya dr tgl 8, baru sampe banget ini. kesel sih, tapi makasih lahya.",positive
"warna nya bagus, soft gitu",positive
gak keluar gel nya,negative
facial washnya sampai dgn aman wlpun agak lama pengirimannya,positive
"kardus penyok, tdk seperti kardus make up merk sebelah muluuusss",positive
makasih iya paketnya sudah sampe kurir jg ramah sukses trs untuk tokopedia,positive
menurutku ini ga kayak reciew2 yg kudenger. dia agak berminyak ya terus cepet hilang jg. dibibir ku kalau udh siang cuma tinggal dipinggir2. kurang bagus kalau ditouch up...,positive
"pesen nomor 5 , yang dtg malah no 3:loudly_crying_face::loudly_crying_face:",negative
koq kayak bekas dipakai ya?? tapi td gak video unboxing pula. ntar aku difikir boong. tp memang kek udh dipake/diswatch. trus sompel lagi bagian atas kiri. tp gak nampak sompelannya kemana. gak ada serbuk berjatuhan.. jd kek udh bekas pakai.. padahal beli langsung di officialnya. tiba pun lama x.,negative
lama kering nya gampang hilang :woozy_face:,negative
"nilai sendiri aja deh wkwk, barang dateng dalam keadaan rusak",negative
isi maskara nya sedikit banget malah kaya gaadaan,negative
bahannya ringan banget dimuka n langsung menyerap. pokoknya ok banget..,positive
lipstik patah dan menempel di tutup,negative
tekstur:bubuk warna:putih ketebalan:tabur pengemasan lama co payment tgl 29/4 dikirim tgl 20/5 hampir 1 bulan .lama bgt parah kelas mall.baru kali ini belanja di shope pengemasan nya hampir 1bulan padahal di ket produk pre-order 7hari,negative
"blush on nya nyampe udh hancur setengah, maaf banget ya dikasih rate 2 soalnya kecewa banget",negative
bagus cuman terlalu lama pakingnya telalu lama menunggu di antar ke kurir,positive
"tidak ada bubble warp , dan tidak bisa di tutup.",negative
warna:hm tekstur:hm ketahanan:hm agak kecewa si.. kyk bukan ori:( bau nya gaenakkk terus pas diaplikasiin ke bibir ga nyatu gituu dia kyk ambyar gitu lohhh. aku gangerti cara deskripsiinnya karna emg kecewa bgt kyk bukan ori:(,negative
"sy baru buka yg niacinamide, ternyata isinya hanya beberapa tetes....pas pipet ditekan naiknya gak sampe 1 cm....jd sy pakai 2x aja langsung hbs....kira2 isinya hanya 8 t...",negative
"tekstur:b aja performa:kurang bagus cocok untuk:y maskara nya yang di kirim kualitasnya kurang bagus , manalagi maskaranya udah kering jadi ga bisa dipake, baunya nyengat banget dan yang dikirim made in china.",negative
murah meriah coverage cukup sayangnya nempel dimasker jd kurang nyaman saat pakai,positive
"aku suka produk garnier tapi kesel banget sama yang bagian packing, tolong di tegur udah berkali kali packing nya rese masaa cuma kardus sampah gada bublewarb",negative
"barang dikirim dengan bubble wrap tebal, tapi kenapa photocard nya bisa lecek ya :(",positive
lembab dan menyegarkan muka,positive
"somethinc sisir rambut nya lucu, sukak, terimaksih sudah dapat bonus itu.",positive
semoga cocok dimuka soalnya bagus si keliatannya hehe hehe,positive
"pengirimannya cepet dari makeover, tapi di ekspedisi nya lama, admin fast respon banget,,,:smiling_face_with_heart-eyes: ada yg pecah warnanya,,",positive
"beli 2 yang dikirim satu, minta pengembalian dana ditolak terus sama tokonya",negative
"uda lama pake shade yg ini karna paling cocok, eh pas pembelian yg terakhir ini gatau kenapa warnanya beda, berubah bgt pdahal kode shadenya masih sama:pensive_face:",negative
baru beli yang clear tp ga ada isi nya . pdahal aku suka produk dari kezia toemion & cindy angelina. tp browcara clear nya kosong . admin juga ga respon. brush nya kering total udh di udek2 ttp kering,negative
kali ini kecewa:l udah lama proses nya trus barang nya juga ga rapet lagi nutup nya jadi tumpah,negative
"blush on nya hancurrrrrrr pada saat baru sampai :loudly_crying_face::loudly_crying_face::loudly_crying_face:, aku mempertanyakan apa ada admin setanggap dan tanggung jawabnya sama klien gak main2 kaya team esqa ini :loudly_crying_face:,how genereous they are produk ku yg ancur karn ekspedisi bner2 mau dikirimin lagi,",negative
biasa aja,negative
"baru pertama kali belii,warnanya baguss bangett sukak:smiling_face_with_heart-eyes:, wanginya juga enak gk terlalu strong jadi bikin nyaman",positive
"tidak ada plastik wrap nya, jadi seperti sudah dibuka",positive
karena didlm foto ada hadiah nya pas dikirim ng ada de,negative
baru pertama kali beli ini.. tapi aku suka pencil eyebrowny,positive
lama lemooooot ngirimnya alesan mulu 2 minggu baru dikirim not rekomen ne tokoooo produk jelek biasa aja,negative
manfaat:melindungi tips pengguna:oleskan ke wajah pertama kali nyoba semoga cocok,positive
pengiriman lama skli,negative
bagussdd bangat :love-you_gesture::love-you_gesture::love-you_gesture: .dapat bonus lagi:woman_dancing::woman_dancing:,positive
gak sesuai sama yg diorder.kecewa banget sama pelayanan nya:confused_face:,negative
"bermasalah dikurir, 2 minggu barang ga nyampe2. pas nyampe packaging udh bonyok banget",negative
tidak ada kejutan di dalam paket.. istimewa,positive
"ini mah bkn putih.. tp kuning ! menuh2in sampah aja --""",negative
"produk baik, sesuai keterangan dan pesanan, thks",positive
profil kecantikan:sensitif skin bisa make manfaat:mencerahkan dan memudarkan bekas jerawat kemasan:dibungkus dg kardus dan bubble wrap udah ketiga kali ini beli karna produknya cocok dan bagus banget. tiap beli selalu packagingnya aman dan rapih plus dapet stiker.,positive
datang kerumah sdh pecah bedaknya,negative
warna:oren gliter tekstur:creamy tapi menggumpal pigmentasi:lumayan,negative
paket sampe kondisi udah kebuka dari dus . terus udah tinggal dikit isinya kayak udah ke pake . mohon di perhatikan lagi kemasannya,negative
"tutup tidak rapat, jadi merembes dan berkurang byk,, tp gk sy komplain krn baru mau coba produk ini",negative
baru pertama kali cobain iniii. semoga cocok,positive
kecawa barang udh d bayar ga sampe tempat malah d bawa kulir nya lagi,negative
pengiriman lama banget... kurir konfirmasi tidak ada sopan santun,negative
"profil kecantikan:natural-medium undertone. kemasan:desain kemasannya unik, enak buat dibawa di tas. paketnya aman banget, dapat bonus exfo serum dan body cream sasetan:smiling_face_with_heart-eyes: warnanya cantik-cantik:tulip:",positive
"cocok untuk:semua jenis tekstur:lembut performa:bagus sumpah kecewa bgt sihhh asli, sampe ancur ke gini mana 2 lagi, harus nya di kasih catatan biar gk di lempar, padahal udahh seneng bgt paket nya dateng ehh pas di buka ancur ke gini :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:",negative
"pesen yg spf 50 tapi dikirim yg 45,kecewa bgt:thumbs_down:",negative
pesen varian pinky lucky malah dateng yang hijau,negative
"120 ml dipakai 2 hari sudah habis kakak bohongin produknya ya tidak masuk akal sudah habis, saya kasih bintang 1 tidak akan lagi repeat terima kasih",negative
"warnanya bagus, mlbb agak keterangan dikiiit. sayangnya di bibirku gak bisa nge-glide sempurna, selalu ada bagian yg patchy atau bagian yg piling terutama di bagian tenga...",positive
"bau nya ga enak, kayak wangi uwak"":loudly_crying_face::loudly_crying_face::loudly_crying_face:",negative
"cuteness :blue_heart: good seller, good packaging, fast respon ! thank you :party_popper:",positive
"cocok buat kulit cenderung kering dan sawo matang kaya aku, dewy finished juga aku suka. thx blp :smiling_face_with_heart-eyes:",positive
baru pertama coba sih belum tau cocok apa nggak. buat pengiriman sama respon penjual oke banget sih gercep jg,positive
datang tepat waktu dan packaging sangat aman dan baik,positive
udah hbs sebotol blm keliatan ada perubahan.,positive
gak jelas banget gak ada isinya,negative
makasih bonus procollagen supreme caviar face cream nya.. :folded_hands:,positive
"produkny bgus,cma pengirimanny lama bget.... dr mulai penyerahn brang ke pihak kurir yg lelet+di prjalanan yg lambat. baru kali ne proses+pngiriman nyampe 5 hari!",positive
makasih ka brangya udah yampai.,positive
"kecewa, karena harus bayar mahal untuk produk not for sale",negative
"pengiriman lama, but thx seller packingnya oke",positive
pengalaman penggunaan:sedih kk kenapa yg datang barangnya ancur begini:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face: kemasan:bisa ditukar g ya kk??? efek::loudly_crying_face::loudly_crying_face::loudly_crying_face:,negative
fdienskwsw nsksl,negative
"packaging buruk sekali, sampai rumah udah hancur penyok bahkan sobek kebuka kardus nya. entah salah pihak shopee yg ngemas asal asalan atau salah pihak shopee xpress yang asal main buka paket orang sembarangan. kelihatan itu foto bukti pengiriman dari kurir shopee xpress nya kalo paket udah dibuka karena selotip nya tidak rata ke ujung.",negative
pecah hair tonicnya.,negative
"ini udah repurchase. setelah dipakai 2 bulanan alhamdulillah wajah lebih cerah, padahal udah gosong banget karena berenang :thumbs_up:",positive
"berhubung gak pake akun toped istri, gak dpt bonus xixixixixi tp yg penting istri senangggg",positive
kami sangat kecewa sekali atas pelayanan dari garnier dimana sy telah pesan brg dan sdh transfer dana. kami juga sdh mnta bantuan tokopedia care ternyata sama juga jawaba...,negative
"udah beli kesekian kali, cuma yg kali ini pengiriman agak lama terus segel di kemasan udah lepas, kemasan di dalam produk sudah rusak padahal luar kemasan masih bagus, isi produk juga tidak seperti biasa malah kayak isi air biasa gada bau seperti obat,",negative
terimakasih dikasih bonus serum sama body cream,positive
packaging rapi respon penjualnya top,positive
bagus. terima kasih! hanya saja proses dan pengiriman lumayan lama. pesan selasa tgl 4/4 baru sampai jumat tgl 7,positive
"performa:menggumpal tekstur:lembut cocok untuk:semua kulit pengemasan dan pengiriman cepat, kualitas barang kurang memuaskan. bila dipakai kurang bagus si, warna terlalu soft. terimakasih.",negative
"ringan dan mudah menyerap... dipakai campur dgn tinted, bikin muka glowing",positive
"kemasan:bagus, lucu bacain penilaian produknya ktanya nahan minyak, mkanya tertarik untuk beli, ngeliat harganya juga lumayan wkwk, taunya di aku baru sebentar dipake muka uda berminyak and bedaknya juga uda hilang, menurut aku ngga waterproof ya, ngga sampe sejam bedaknya uda hilang and muka aku juga jadi kusam padahal aktifitas juga gak berat, klo gitu sama aja kya bedak yang aku beli harga 50an",negative
produknya sangat memuaskan,negative
"barang gak sampai sudah lebih dari 1 minggu, dijanjikan dikirim menyusul tgl 5 des, tapi hingga hari ini 13 des tidak ada konfirmasi, katanya akan direfund tapi belum jug...",negative
cocok untuk:untuk bibir tekstur:creamy performa:bagus baru mo nyobain warna ini semoga cocok .... makasih,positive
"bocoooorrrrrr.. dan tinggal 3/4 lg isinya.. baru x ini ngasih bintang 2, karena tutup kemasannya jg ga layak pake :neutral_face::neutral_face::neutral_face:. pantesan isinya tumpah2. ga dicek dulu apa gmn??? pdhl saya sering bgd belanja dsni, baru kali ini kecewa pisan..",negative
"belum coba, semoga cocok buat rambut rontok yg parah kali",positive
produk not for sale :face_with_steam_from_nose:,negative
ini sebnrnya sy saalah pesan.kira serum wajah taunya masker berbentuk kertas.pas beli online.ngk bc jelas.inilah tdk enak klu beli brg online.sebak kurang puas.menurut sy hrgnya lumaya.mahal jg ya.cuma 1kali pakai.tp blm tau ya.manfaatnya benar2 bgs moga benar2 bgs,negative
"ini afterfeelnya agak sedikit berat dibanding hydrasoothe. sy kurang cocok pake krim yg pekat, jdnya muncul jerawat. cuma mungkin krn ini ada serumnya jd kulit terasa leb...",positive
cocok untuk:bohong pembohong katanya free eyeliner tapi pas d buka paket nya gak ada !,negative
diminta pilihan hadiah namun hadiahnya tidak ada,negative
sy terima kosong gak ada isinya. salahnya sy gak unboxing sebelum buka paket :pensive_face: trus langsung trima barang gak ngecek isinya dulu. pas di buka zonk gak ada isinya cuma dus nya doang. pelajaran buat sy harus unboxing dan harus benar2 di cek isinya sebelum terima barang.,negative
performa:tutupnya susah dibuka apa gue doang disini yg beli tp tutupnya susaahhh bgt dibukaa. sampe harus dirusak dlu tutupnya baru kebuka,negative
"pesan dua paket, yang datang hanya satu paket",negative
"sehari sampai kaya layanan jne yes, padahal pake jne reg. terima kasih",positive
produk aman....warna2nya cakep....tekstur halus,positive
"kemasannya rapi, pengiriman cepat, kaulitas bagus, make over bagus banget, terimakasih ya",positive
terima kasih ya barang sudah di terima dengan baik.,positive
"packing bagus, pengiriman cepat, barang masih segel semua. :thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up:",positive
"inv/20210808/mpl/1479601009 barang tdk sampai, uang blm dikembalikan, inv/20210304/xxi/iii/769577874 dibatalkan sepihak dengan alasan stok habis luar biasa....",negative
dapet kemasan lama ga sesuai foto,positive
kemesan tdk dsegel sprt barang lama tp exp lama mudh2hn ini brang baru pngiriman lama harga juga mahal,negative
kemasan:bagus manfaat:gak ada pengalaman penggunaan:gak ada warnanya sama sekalii polos doangan . . untung beli cuma 1 doang gak jd semuanya.,negative
"tekstur:kental cepat menyerap performa:bagus cocok untuk:normal dari segi produk saya ga da masalah ya ,ini juga udah pembelian saya ke dua kali nya di bnb,yang jadi masalah di sini bnb ga sesuai dengan iklan yang mana pada tgl 1 kmrn waktu flash kalau beli dapat kemasan isi ulang toner nya ada 6 ,kalau ga mampu kasih jangan di buat iklan nya ,saya masih ada stok tapi buru buru klik waktu flash sale karena ada hadiah 6 mini size nya.jaga kepercayaan konsumen,saya kecewa sekali .",negative
"di aku kurang sih ga bikin transferproof dan ga bikin make up awet juga, mungkin cocok2an dengan jenis kulit tiap orang, tapi untuk produk esqa yg lainnya aku suka hanya ini aja yg agak kurang utk aku",negative
